French,English,Spanish,German
Point and click,Point-and-click,Point-and-click,Point-and-Click
Combat,Fighting,Lucha,Kampfspiel
Tir,Shooter,Shooter,Shooter
Musical,Music,Musical,Musikspiel
Platforme,Platform,Plataformas,Plattformspiel
Puzzle,Puzzle,Rompecabezas,Puzzle
Course,Racing,Carreras,Rennspiel
Stratégie en temps réel,Real Time Strategy,Estrategia en tiempo real,Echtzeit-Strategie
STR,RTS,ETR,RTS
Jeu de rôle,Role-playing,Juego de rol,Rollenspiel
RPG,RPG,RPG,RPG
Simulateur,Simulator,Simulador,Simulator
Sport,Sport,Deporte,Sportspiel
Stratégie,Strategy,Estrategia,Strategie
Stratégie au tour par tour,Turn-based strategy,Estrategia por turnos,Rundenbasierte Strategie
TBS,TBS,TBS,TBS
Tactique,Tactical,Táctico,Taktikspiel
Hack and slash,Hack and slash,Hack and slash,Hack and Slay
Beat them all,Beat 'em up,Beat 'em up,Beat 'em up
Quiz,Quiz,Quiz,Quiz
Culture générale,Trivia,Trivia,Trivia
Flipper,Pinball,Pinball,Flipper
Aventure,Adventure,Aventura,Abenteuer
Indie,Indie,Indie,Indie
Arcade,Arcade,Arcade,Arcade
Visuel novel,Visual novel,Novela visual,Visual Novel
Jeux de carte et de plateau,Card and board,Juegos de cartas y de mesa,Karten- und Brettspiele
MOBA,MOBA,MOBA,MOBA
Drop,Drop,Drop,Drop
Gestion agricole,Farming,Farmeo,Farmen
Butin,Loot,Botín,Beute
Lore,Lore,Lore,Hintergrundgeschichte
Mob,Mob,Mob,Mob
Nerf,Nerf,Nerfeo,Nerf
Buff,Buff,Buff,Buff
Personnage non-jouable,Non Playable Character,Personaje no jugable,Nicht-spielbarer Charakter
PNJ,NPC,PNJ,NSC
Respawn,Respawn,Respawn,Respawn
Assaut,Rush,Rush,Rushen
Spawn,Spawn,Spawn,Spawn
Équipement,Stuff,Equipo,Ausrüstung
Gameplay,Gameplay,Jugabilidad,Spielmechanik
Boss,Boss,Jefe,Endboss
Hitbox,Hitbox,Hitbox,Trefferzone
Niveau,Level,Nivel,Level
Farmer,Grind,Farmeo,Grinden
Ragequit,Ragequit,Ragequit,Ragequit
Point and click,Point-and-click,Point-and-click,Point-and-Click
Combat,Fighting,Lucha,Kampfspiel
Tir,Shooter,Shooter,Shooter
Musical,Music,Musical,Musikspiel
Platforme,Platform,Plataformas,Plattformspiel
Puzzle,Puzzle,Rompecabezas,Puzzle
Course,Racing,Carreras,Rennspiel
Stratégie en temps réel,Real Time Strategy,Estrategia en tiempo real,Echtzeit-Strategie
STR,RTS,ETR,RTS
Jeu de rôle,Role-playing,Juego de rol,Rollenspiel
RPG,RPG,RPG,RPG
Simulateur,Simulator,Simulador,Simulator
Sport,Sport,Deporte,Sportspiel
Stratégie,Strategy,Estrategia,Strategie
Stratégie au tour par tour,Turn-based strategy,Estrategia por turnos,Rundenbasierte Strategie
TBS,TBS,TBS,TBS
Tactique,Tactical,Táctico,Taktikspiel
Hack and slash,Hack and slash,Hack and slash,Hack and Slay
Beat them all,Beat 'em up,Beat 'em up,Beat 'em up
Quiz,Quiz,Quiz,Quiz
Culture générale,Trivia,Trivia,Trivia
Flipper,Pinball,Pinball,Flipper
Aventure,Adventure,Aventura,Abenteuer
Indie,Indie,Indie,Indie
Arcade,Arcade,Arcade,Arcade
Visuel novel,Visual novel,Novela visual,Visual Novel
Jeux de carte et de plateau,Card and board,Juegos de cartas y de mesa,Karten- und Brettspiele
MOBA,MOBA,MOBA,MOBA
Drop,Drop,Drop,Drop
Gestion agricole,Farming,Farmeo,Farmen
Butin,Loot,Botín,Beute
Lore,Lore,Lore,Hintergrundgeschichte
Mob,Mob,Mob,Mob
Nerf,Nerf,Nerfeo,Nerf
Buff,Buff,Buff,Buff
Personnage non-jouable,Non Playable Character,Personaje no jugable,Nicht-spielbarer Charakter
PNJ,NPC,PNJ,NSC
Respawn,Respawn,Respawn,Respawn
Assaut,Rush,Rush,Rushen
Spawn,Spawn,Spawn,Spawn
Équipement,Stuff,Equipo,Ausrüstung
Gameplay,Gameplay,Jugabilidad,Spielmechanik
Boss,Boss,Jefe,Endboss
Hitbox,Hitbox,Hitbox,Trefferzone
Niveau,Level,Nivel,Level
Farmer,Grind,Farmeo,Grinden
Ragequit,Ragequit,Ragequit,Ragequit
Point and click,Point-and-click,Point-and-click,Point-and-Click
Combat,Fighting,Lucha,Kampfspiel
Tir,Shooter,Shooter,Shooter
Musical,Music,Musical,Musikspiel
Platforme,Platform,Plataformas,Plattformspiel
Puzzle,Puzzle,Rompecabezas,Puzzle
Course,Racing,Carreras,Rennspiel
Stratégie en temps réel,Real Time Strategy,Estrategia en tiempo real,Echtzeit-Strategie
STR,RTS,ETR,RTS
Jeu de rôle,Role-playing,Juego de rol,Rollenspiel
RPG,RPG,RPG,RPG
Simulateur,Simulator,Simulador,Simulator
Sport,Sport,Deporte,Sportspiel
Stratégie,Strategy,Estrategia,Strategie
Stratégie au tour par tour,Turn-based strategy,Estrategia por turnos,Rundenbasierte Strategie
TBS,TBS,TBS,TBS
Tactique,Tactical,Táctico,Taktikspiel
Hack and slash,Hack and slash,Hack and slash,Hack and Slay
Beat them all,Beat 'em up,Beat 'em up,Beat 'em up
Quiz,Quiz,Quiz,Quiz
Culture générale,Trivia,Trivia,Trivia
Flipper,Pinball,Pinball,Flipper
Aventure,Adventure,Aventura,Abenteuer
Indie,Indie,Indie,Indie
Arcade,Arcade,Arcade,Arcade
Visuel novel,Visual novel,Novela visual,Visual Novel
Jeux de carte et de plateau,Card and board,Juegos de cartas y de mesa,Karten- und Brettspiele
MOBA,MOBA,MOBA,MOBA
Drop,Drop,Drop,Drop
Gestion agricole,Farming,Farmeo,Farmen
Butin,Loot,Botín,Beute
Lore,Lore,Lore,Hintergrundgeschichte
Mob,Mob,Mob,Mob
Nerf,Nerf,Nerfeo,Nerf
Buff,Buff,Buff,Buff
Personnage non-jouable,Non Playable Character,Personaje no jugable,Nicht-spielbarer Charakter
PNJ,NPC,PNJ,NSC
Respawn,Respawn,Respawn,Respawn
Assaut,Rush,Rush,Rushen
Spawn,Spawn,Spawn,Spawn
Équipement,Stuff,Equipo,Ausrüstung
Gameplay,Gameplay,Jugabilidad,Spielmechanik
Boss,Boss,Jefe,Endboss
Hitbox,Hitbox,Hitbox,Trefferzone
Niveau,Level,Nivel,Level
Farmer,Grind,Farmeo,Grinden
Ragequit,Ragequit,Ragequit,Ragequit
Point and click,Point-and-click,Point-and-click,Point-and-Click
Combat,Fighting,Lucha,Kampfspiel
Tir,Shooter,Shooter,Shooter
Musical,Music,Musical,Musikspiel
Platforme,Platform,Plataformas,Plattformspiel
Puzzle,Puzzle,Rompecabezas,Puzzle
Course,Racing,Carreras,Rennspiel
Stratégie en temps réel,Real Time Strategy,Estrategia en tiempo real,Echtzeit-Strategie
STR,RTS,ETR,RTS
Jeu de rôle,Role-playing,Juego de rol,Rollenspiel
RPG,RPG,RPG,RPG
Simulateur,Simulator,Simulador,Simulator
Sport,Sport,Deporte,Sportspiel
Stratégie,Strategy,Estrategia,Strategie
Stratégie au tour par tour,Turn-based strategy,Estrategia por turnos,Rundenbasierte Strategie
TBS,TBS,TBS,TBS
Tactique,Tactical,Táctico,Taktikspiel
Hack and slash,Hack and slash,Hack and slash,Hack and Slay
Beat them all,Beat 'em up,Beat 'em up,Beat 'em up
Quiz,Quiz,Quiz,Quiz
Culture générale,Trivia,Trivia,Trivia
Flipper,Pinball,Pinball,Flipper
Aventure,Adventure,Aventura,Abenteuer
Indie,Indie,Indie,Indie
Arcade,Arcade,Arcade,Arcade
Visuel novel,Visual novel,Novela visual,Visual Novel
Jeux de carte et de plateau,Card and board,Juegos de cartas y de mesa,Karten- und Brettspiele
MOBA,MOBA,MOBA,MOBA
Drop,Drop,Drop,Drop
Gestion agricole,Farming,Farmeo,Farmen
Butin,Loot,Botín,Beute
Lore,Lore,Lore,Hintergrundgeschichte
Mob,Mob,Mob,Mob
Nerf,Nerf,Nerfeo,Nerf
Buff,Buff,Buff,Buff
Personnage non-jouable,Non Playable Character,Personaje no jugable,Nicht-spielbarer Charakter
PNJ,NPC,PNJ,NSC
Respawn,Respawn,Respawn,Respawn
Assaut,Rush,Rush,Rushen
Spawn,Spawn,Spawn,Spawn
Équipement,Stuff,Equipo,Ausrüstung
Gameplay,Gameplay,Jugabilidad,Spielmechanik
Boss,Boss,Jefe,Endboss
Hitbox,Hitbox,Hitbox,Trefferzone
Niveau,Level,Nivel,Level
Farmer,Grind,Farmeo,Grinden
Ragequit,Ragequit,Ragequit,Ragequit
